case,exposure,step,n_detected,threshold_used,area_sigma,margin
clean,0.0,0,6,0.07963032673155578,0.08967774703640012,1.1261758015726284
clean,0.0,1,6,0.07963032673155578,0.09095805595175013,1.142253958826285
clean,0.0,2,6,0.07963032673155578,0.09323572596857477,1.1708570063122379
clean,0.0,3,6,0.07963032673155578,0.09556385646056041,1.2000937379387961
clean,0.0,4,6,0.07963032673155578,0.09813748507620444,1.2324134422685307
clean,0.0,5,6,0.07963032673155578,0.101400466980987,1.2733900656068033
clean,0.0,6,6,0.07963032673155578,0.09994635466418285,1.255129280093438
clean,0.0,7,6,0.07963032673155578,0.10349669166264852,1.2997145172033435
clean,0.0,8,6,0.07963032673155578,0.10668952363670899,1.3398101956353048
clean,0.0,9,6,0.07963032673155578,0.10937226542253513,1.373500146385727
clean,0.0,10,6,0.07963032673155578,0.11176861912351088,1.4035936270900593
clean,0.0,11,6,0.07963032673155578,0.11381274408340102,1.4292638088385425
clean,0.0,12,6,0.07963032673155578,0.11564802360693176,1.4523113034157995
clean,0.0,13,6,0.07963032673155578,0.11720379263009394,1.471848696856453
clean,0.0,14,6,0.07963032673155578,0.11863902253169464,1.4898723564408103
clean,0.0,15,6,0.07963032673155578,0.1199286136190033,1.506067079484658
clean,0.0,16,6,0.07963032673155578,0.12120719170456014,1.5221235009265428
clean,0.0,17,6,0.07963032673155578,0.12238666570851751,1.5369353703784105
clean,0.0,18,6,0.07963032673155578,0.12341236040718885,1.5498160747629233
clean,0.0,19,6,0.07963032673155578,0.12439542467823883,1.562161424975588
clean,0.0,20,6,0.07963032673155578,0.1253287540045045,1.5738822022795924
clean,0.0,21,6,0.07963032673155578,0.12614732780677815,1.5841618763167613
clean,0.0,22,6,0.07963032673155578,0.12687488863927332,1.5932986067856425
clean,0.0,23,6,0.07963032673155578,0.1275915933520381,1.602299005781629
clean,0.0,24,6,0.07963032673155578,0.1282062985115708,1.610018491369136
clean,0.0,25,6,0.07963032673155578,0.1288040698101083,1.6175253210290552
